client,SMS Pack,Voix Pack,Data Pack,Choco1,Choco2
624206921,0,0,0,1,0
626043892,1,0,0,0,0
626681978,0,0,0,0,1
628856613,0,0,0,0,1
620622443,1,1,0,1,0
626467862,0,1,1,0,0
623433260,0,1,0,1,1
626615183,1,0,1,1,1
625895816,1,1,0,1,1
624537234,0,1,1,0,0
625250616,0,0,0,0,0
628999022,0,0,1,0,0
625180706,0,1,0,1,1
621274059,0,0,0,0,0
622898670,0,0,1,1,0
629777065,1,1,0,0,1
622411524,0,1,0,1,1
629867725,0,0,0,0,1
621049018,1,1,0,1,1
623360389,1,0,1,1,1
628641999,1,1,0,1,0
627558574,0,0,0,1,1
623014502,1,0,0,0,1
620116945,0,0,0,1,0
627948761,1,0,0,0,1
620737117,0,0,0,1,1
625761859,0,0,0,1,0
620213261,0,1,0,0,1
623749285,1,0,1,1,0
622366452,0,1,1,1,1
621370685,0,1,0,0,0
621369474,0,1,0,1,0
620071862,0,1,0,0,1
623978667,0,0,1,1,0
621828570,0,1,0,0,1
624557227,0,0,1,1,1
626812959,1,0,1,0,0
622059005,0,1,0,1,0
628766086,0,1,0,0,0
624705996,1,0,1,0,1
624353781,0,0,1,0,1
621520717,1,1,1,1,1
625880511,0,0,0,0,1
622664795,0,0,0,0,1
620773553,1,0,0,1,1
629799628,0,1,0,0,0
624079430,0,0,0,0,1
621427425,1,0,1,1,0
624399976,1,0,1,0,1
622957676,0,0,1,0,1
622497361,1,0,0,0,1
624937295,1,0,1,0,1
628749394,0,1,1,0,1
628943857,1,1,1,1,1
621932744,0,1,0,1,0
629052770,1,0,0,1,1
627419478,1,0,1,1,0
621932199,1,1,0,1,1
623581574,0,0,0,1,1
621207561,0,0,1,1,0
623794489,0,0,0,1,0
625778318,0,0,0,0,0
626544293,0,1,0,1,1
623074611,1,0,0,0,1
628988997,1,1,1,1,0
620612754,1,1,1,0,0
621393958,1,1,1,0,1
627716265,1,1,0,1,1
629554370,1,1,1,1,0
621171024,0,0,0,0,1
620437814,1,1,1,0,0
624616870,0,1,1,1,0
627540989,0,0,0,1,0
625922466,0,1,1,0,0
625616518,0,1,1,1,1
627860790,0,0,1,0,0
629089012,1,0,0,1,1
623677897,1,0,0,1,1
624577130,1,0,0,1,1
620562624,0,0,1,1,1
629329487,1,0,1,1,1
622768734,0,0,1,0,1
627287672,1,0,1,0,0
623288563,0,1,0,1,0
628099452,0,1,0,0,0
621272052,0,0,1,0,0
624904907,0,1,1,1,0
626026331,1,1,1,1,0
621683579,1,1,0,0,1
620630215,1,0,0,1,1
625229565,1,0,0,0,1
626630387,0,1,1,0,0
623396441,0,1,0,0,1
629537031,1,0,1,1,0
628687811,1,1,1,0,1
624768654,0,0,1,0,0
622633435,0,0,0,0,0
627068636,1,0,1,1,0
625490354,1,0,1,1,0
623537990,1,0,0,0,0
625474888,0,0,0,1,0
621849601,1,1,0,0,1
626461179,1,1,0,0,1
625645681,1,0,0,1,0
621174881,0,0,1,1,1
624470010,1,1,0,1,1
628224262,1,1,0,1,1
623063420,0,1,0,0,1
625982230,1,0,1,0,0
624719901,0,0,0,1,0
629978648,0,0,0,1,1
620347891,0,0,1,0,1
620777698,0,1,1,1,0
622208410,0,0,0,0,1
625745685,0,0,0,1,0
627535963,1,1,1,1,1
620982518,0,1,1,1,1
623811099,1,0,0,0,0
622564217,1,0,1,0,0
627593128,1,1,1,1,0
629938433,1,1,1,0,1
624952977,0,0,0,0,0
626354041,1,1,1,1,1
624448602,1,1,1,0,0
626661894,1,1,0,1,0
627921482,0,1,0,0,1
628757455,1,1,0,1,1
628265514,1,0,0,1,1
620088196,1,0,0,0,1
622916988,0,0,1,1,1
622836019,1,0,0,0,1
627593531,0,0,1,0,0
621051724,0,1,0,0,1
620844829,1,1,0,0,1
624816835,1,0,0,0,1
626205965,0,1,0,0,1
624749498,0,0,0,1,0
620606330,0,0,0,0,1
625799977,0,1,1,0,0
620934465,1,0,1,0,0
625152653,1,1,0,0,0
621359661,0,0,1,0,0
624190319,1,0,0,1,1
621144834,1,0,0,0,1
628940939,1,0,1,0,0
624087479,1,0,0,0,0
628273798,0,0,1,0,0
624153055,0,0,1,0,0
629010351,1,0,0,1,0
627800052,0,1,1,1,1
628166305,1,1,0,0,1
624507488,1,0,0,0,0
624371665,0,1,0,0,1
622564793,1,0,0,1,1
627692669,0,0,0,1,0
626034255,0,0,1,0,0
624803350,1,0,0,1,0
624181770,1,1,1,0,0
624707501,1,1,1,0,1
621310273,1,0,0,1,1
622115664,1,1,0,1,1
627475860,0,1,1,0,0
624425965,0,1,1,1,0
629316302,0,0,1,1,1
629050778,0,0,1,1,1
622543564,0,0,1,0,0
629548349,0,0,0,0,1
625074529,1,1,1,0,0
621560826,0,0,1,1,1
624497100,1,1,0,0,0
628587109,1,0,1,1,1
623721625,0,0,0,0,0
623815183,1,0,0,1,1
620379817,1,0,0,0,1
629247906,1,0,0,1,0
627714872,0,0,0,1,1
621708301,1,1,0,1,1
621076130,0,0,0,1,1
628770968,0,1,1,0,1
623090013,1,0,0,1,0
628028258,0,0,0,0,1
620956299,1,1,0,1,1
628487165,1,0,0,1,0
622757006,1,1,1,0,0
625877244,0,1,0,1,1
626694921,0,0,1,1,0
624074546,1,1,0,1,1
625663533,1,1,1,1,1
625240474,0,0,0,1,0
625014592,1,0,1,1,0
620881862,0,0,0,1,0
626191880,0,0,0,0,1
621086059,1,1,0,0,1
620118726,1,0,1,0,1
621985115,0,1,0,1,0
622387393,1,0,0,1,0
625184682,1,0,0,1,0
622392226,1,0,0,0,0
627506091,1,1,1,1,1
628286499,1,0,1,1,1
624396787,1,0,0,1,1
620127577,1,0,1,0,0
628672392,0,1,1,0,0
621458493,0,1,1,1,1
628927956,0,1,1,0,1
627222883,1,0,0,1,1
622362811,1,0,0,1,0
620579622,1,1,0,0,1
623624822,1,1,1,1,0
620281836,0,1,0,1,1
621236694,0,0,0,0,0
628362644,0,1,0,1,1
626980201,0,1,0,0,1
624226445,0,0,0,0,1
629618064,1,1,0,0,1
626285014,1,1,1,1,1
626413390,1,0,0,0,0
623800998,0,1,0,0,1
623372408,1,0,0,0,1
624985954,0,0,0,1,0
622228515,1,0,0,1,1
620529247,0,1,1,0,0
626475684,0,1,1,0,0
622796823,1,0,0,0,1
626464057,1,0,0,0,0
629164752,1,0,0,1,0
621700883,0,1,0,0,0
626758995,1,1,1,1,0
620059817,0,1,1,1,1
626477709,1,0,1,1,1
621990184,0,1,0,1,1
626661567,0,1,1,0,0
625176565,1,1,0,1,0
626963451,1,0,1,1,1
627347829,0,0,1,1,1
623889655,0,0,1,1,0
621861082,0,1,1,0,1
621696055,1,1,1,0,1
621410622,1,1,1,0,0
622409447,1,0,1,0,1
623600802,1,1,0,1,0
629902252,1,0,1,0,1
625186360,1,0,1,1,1
621587512,1,1,1,0,1
626086080,0,1,1,0,1
629981484,1,0,0,0,1
629236443,0,0,0,1,0
624638824,1,1,0,0,1
627328084,1,1,1,1,0
622140410,1,1,0,0,1
629874633,0,0,0,1,0
625090118,1,1,1,1,0
623752839,0,1,1,0,1
621863063,0,1,0,1,1
621571458,0,1,0,0,0
628915999,0,0,1,1,1
620395627,0,0,1,0,0
621729898,0,0,0,0,0
622974541,1,0,0,0,0
626070519,0,1,1,1,1
628030363,1,1,0,0,1
620278830,0,1,1,0,0
629373008,1,0,1,0,0
627838885,0,0,0,0,0
627621321,0,1,1,0,0
625043619,1,0,1,1,1
623420384,1,0,0,1,0
628932991,0,0,1,0,0
621642143,1,0,0,0,0
629024963,1,0,1,0,0
620166322,1,0,1,1,0
629577988,0,0,0,0,1
629986604,1,1,1,0,1
627719985,0,0,1,0,1
620495513,1,1,0,1,1
625284141,1,0,1,1,1
622922507,0,0,1,0,0
624861290,0,0,0,1,1
623055096,0,1,0,0,1
626830390,0,0,1,0,1
626499445,0,0,0,1,1
628229452,0,1,1,1,0
623966567,0,1,0,1,1
624924311,1,1,0,1,0
626409696,0,0,1,1,1
622105400,0,0,0,1,1
628416470,0,1,0,1,0
628759880,0,1,1,1,1
629679549,0,1,0,0,1
621209716,1,1,1,1,1
621732842,0,1,0,1,1
622700417,1,1,1,1,0
620094083,1,1,0,1,0
621259231,0,0,1,1,1
625333205,0,0,1,0,0
622996770,0,1,1,0,0
625844975,0,1,1,1,0
629379085,1,0,0,0,1
629204806,1,1,1,0,1
627767518,0,0,0,0,1
629471620,1,1,1,0,0
629177115,1,0,0,0,0
626838819,1,0,1,0,1
623617398,0,0,1,1,1
626197344,1,0,0,0,0
627613442,0,1,0,0,0
625470180,1,0,1,0,1
620224211,1,1,0,1,0
622323239,0,0,0,1,0
628089791,0,0,0,0,1
621909457,1,1,0,1,0
625370107,1,1,0,1,0
626030886,1,1,1,1,1
620824416,1,0,0,1,1
625751468,1,1,1,0,0
626201938,0,0,0,1,0
629643473,1,0,0,0,0
627654726,0,1,1,1,0
624439097,1,1,1,1,1
629234828,0,0,1,1,0
622539074,1,0,1,0,0
625080570,0,1,1,0,1
628961853,0,0,1,1,1
627439777,0,0,1,0,1
629193098,1,1,0,0,1
627336163,1,0,1,1,1
624353176,0,1,0,0,0
625504273,1,0,0,0,1
621882482,1,1,1,0,1
628143653,1,0,0,1,1
622120781,1,1,0,1,0
621632638,1,1,1,1,1
621890567,1,0,0,1,1
623959055,0,0,1,0,0
625277210,1,1,0,0,0
626966835,1,0,0,1,1
623120837,1,0,1,0,1
621487316,0,1,1,1,0
620864018,0,1,1,0,0
627193817,1,0,0,1,0
621629146,0,0,0,1,1
621601443,1,1,1,0,1
628155902,0,0,1,0,0
629476148,0,1,1,0,1
625085109,0,1,0,1,1
622073993,0,1,0,0,0
621337791,0,1,1,1,1
629911751,1,0,0,0,0
623519570,0,1,0,0,1
621749515,1,0,0,0,0
620104195,1,0,0,1,1
621331959,1,0,1,1,0
622146929,0,1,0,1,0
627324615,0,0,1,1,0
621963655,1,0,1,1,1
620969229,1,1,0,0,1
621402124,0,1,1,1,0
627935616,1,0,0,1,0
623429879,0,0,1,1,0
624760333,0,0,0,1,0
625600638,1,0,1,0,1
620646264,1,0,0,0,0
623886893,1,0,0,1,0
629246251,1,1,1,1,0
627730462,1,0,0,0,1
627959326,1,1,1,1,0
628117703,1,0,1,0,0
629462729,0,1,0,0,0
628049323,0,0,1,1,0
626029953,1,1,1,0,0
626178675,0,1,0,1,1
628603356,1,0,1,1,1
626992428,1,1,1,0,0
622855512,0,1,0,0,0
624302659,0,1,1,1,0
624391706,1,0,1,0,1
620154678,0,0,1,0,1
620525073,1,1,1,0,0
621853174,1,0,1,0,1
629516699,1,0,1,1,0
622099805,0,0,1,1,0
629576827,0,1,0,0,0
621649282,0,1,0,0,0
625603906,1,1,0,0,0
624501589,0,0,0,0,1
624288624,1,1,1,1,1
629290819,1,1,1,1,1
623421673,1,0,0,0,0
624595083,0,0,1,1,1
623726348,0,0,1,0,0
627508817,0,0,1,0,0
629740795,0,0,0,1,1
628730889,1,1,1,0,0
629575125,0,0,1,0,0
620364600,0,0,1,0,1
624161606,1,1,1,0,0
620408735,1,1,0,0,0
629235198,0,1,0,1,0
626716228,0,1,1,1,0
629145730,1,1,1,1,1
628088800,1,0,1,1,1
626829855,1,1,0,0,0
626388664,1,1,0,1,1
624715828,0,1,1,0,1
622578631,0,1,1,1,0
621982412,1,0,0,1,1
624248463,0,1,0,1,1
620122042,1,0,1,1,1
624940461,0,1,1,0,0
620877033,1,0,1,1,0
620661775,1,1,1,1,0
629992472,0,1,0,0,0
629244359,1,1,0,0,0
623167579,1,1,1,0,1
624269528,1,1,1,0,0
626301868,1,1,0,1,0
628680076,0,0,0,1,0
627444753,0,0,0,1,1
622410480,0,1,1,1,0
628332505,0,0,1,1,1
625901959,0,0,1,0,1
628372062,0,0,0,0,0
624866614,1,1,0,1,0
620706472,0,0,1,0,0
623177156,1,0,0,0,1
621776885,0,1,0,1,1
623997924,1,1,0,1,1
621781522,1,1,0,0,1
623248004,1,1,1,0,0
627141023,1,1,1,1,0
629961380,1,1,0,1,1
629665642,1,1,0,0,1
621030953,1,1,0,0,0
623371206,0,0,0,0,1
626741153,1,0,0,1,1
625021322,0,1,0,0,1
628204317,1,1,0,0,0
623948840,0,0,1,0,1
629436770,1,1,1,1,0
628465457,0,0,0,1,0
622636883,0,0,0,1,0
629903717,1,0,0,0,0
623132829,0,1,1,1,0
626833587,1,0,0,0,1
622177930,1,1,0,1,1
626188019,1,0,0,0,1
626428696,0,0,1,0,1
629124147,0,1,1,1,0
622421854,0,0,0,1,1
629866424,1,0,1,1,0
629357216,0,0,0,0,0
625488624,1,1,1,1,1
629526539,0,0,0,1,1
627271291,0,0,0,0,0
625108908,1,1,1,1,0
627465351,1,0,1,0,1
625113443,1,1,1,0,1
625101742,0,0,0,0,0
628718010,0,1,1,0,0
628445939,0,1,0,1,1
628526312,0,1,0,1,0
628800266,0,0,0,0,0
624864353,1,1,0,0,0
628207827,1,0,1,1,1
626763419,0,0,1,0,0
627780125,0,1,0,1,0
621001806,1,1,1,1,0
626187431,1,1,1,1,1
628934373,0,1,0,0,1
626855137,1,0,0,0,1
625086429,0,1,1,0,1
621154031,0,0,1,1,0
628484541,0,0,0,0,0
620609183,1,0,1,0,0
621332432,1,1,1,1,0
621421802,0,0,0,1,0
629105123,1,0,0,0,1
626483776,0,1,1,1,1
624485837,0,1,0,1,0
629674878,1,1,1,0,1
621147685,0,0,1,0,0
628843291,1,0,0,0,1
620740068,0,1,0,0,1
624631286,0,0,0,1,1
626472554,1,1,0,0,0
627639328,1,1,0,1,0
627534506,1,0,1,0,0
622950983,1,1,1,0,0
620662262,1,1,1,0,0
627993597,1,0,0,0,1
629152862,0,1,0,1,1
622769621,0,0,1,0,0
621407330,1,0,0,1,1
627487668,0,0,1,0,1
629225250,1,0,1,1,0
628214553,0,1,0,1,1
625217217,1,0,0,0,0
620154438,0,1,1,0,1
624510300,1,1,1,1,0
621309409,1,0,0,1,0
627616005,0,0,0,0,1
624475854,0,0,0,0,0
628938427,0,0,0,1,0
623884311,0,0,0,0,1
623917682,1,1,0,0,1
627186535,1,0,1,1,1
620541412,0,1,1,0,1
629427296,1,1,0,1,1
622078660,1,0,0,1,1
623973700,0,1,1,0,1
628665518,1,1,0,0,0
629252508,0,0,1,1,0
621084157,1,0,1,0,1
621215005,1,1,1,1,0
622540107,0,0,0,1,0
624440440,1,0,1,1,0
625113379,0,0,1,0,0
624623364,0,0,0,1,1
624507056,1,0,0,1,0
627257019,1,1,1,1,0
625816697,1,1,0,0,1
626227558,1,1,1,1,0
627633349,0,0,1,0,0
624177511,1,0,1,0,1
625197166,1,1,1,0,0
623268557,1,1,0,0,0
622339632,1,0,0,0,0
628613031,1,1,0,1,1
629110734,1,0,1,0,1
623660973,0,1,1,0,0
622667626,1,0,0,1,1
623604564,1,1,1,1,0
627030417,0,0,0,1,0
623225096,0,0,1,0,0
620074983,1,0,0,0,0
627687103,1,1,0,1,0
629419397,1,0,0,0,0
624530914,1,1,1,1,0
624152102,0,0,1,0,0
625207081,1,1,1,0,0
623540295,1,0,0,0,0
628664801,0,1,1,0,0
625238790,1,0,1,0,0
622410444,1,0,0,1,1
621550344,0,0,1,1,1
628465226,1,1,0,0,0
624832273,0,0,1,0,0
627912992,0,1,1,1,1
621422056,0,0,0,1,0
626920411,0,1,0,1,1
627595888,1,0,1,0,1
623684557,1,0,1,0,0
623233446,1,1,1,0,1
629116869,0,0,0,1,1
627922408,0,0,0,1,1
623418601,1,0,1,1,0
620811174,0,0,1,0,1
626918228,1,0,0,1,0
621987643,0,1,1,1,0
621758750,1,0,1,1,0
629328635,1,0,0,0,1
629300888,1,1,0,1,1
620905795,0,0,1,1,1
627517458,0,1,0,0,0
627087841,0,0,1,0,0
629645977,1,0,1,0,0
624881691,0,1,1,1,1
625296412,1,1,0,0,0
624771352,0,0,0,0,1
629551106,1,0,0,1,1
621196101,1,0,1,0,1
620554579,0,1,0,0,0
629280314,0,1,0,0,1
622161734,1,1,0,0,0
625463413,1,0,1,0,0
627170763,0,0,1,1,1
626291173,0,0,1,0,0
625755443,1,0,1,0,0
623437368,1,1,0,0,1
628313802,0,0,1,1,0
627524407,0,0,0,0,1
621607122,1,1,0,1,0
628768694,1,1,1,1,0
628122918,0,1,0,1,0
625535053,0,0,1,1,1
626710080,1,0,1,1,0
625655251,1,0,1,0,1
629471679,1,0,1,1,1
629397918,0,0,1,1,1
620489527,1,1,0,0,1
623319777,0,1,1,0,1
629045304,0,1,0,1,0
627477081,1,0,0,1,1
625596246,0,0,0,0,1
622877078,1,1,0,0,0
629366489,0,0,0,1,0
627524485,1,1,0,1,0
626668063,0,0,0,0,1
620798079,0,0,0,1,0
625129658,0,0,0,0,0
625179355,1,0,1,0,0
623656765,1,1,1,0,0
622184976,1,0,1,0,1
628946404,0,1,1,1,1
628372893,0,1,0,1,0
622930718,0,0,1,0,0
625966534,0,1,1,0,1
624966664,1,0,1,0,1
627774990,1,1,0,0,0
623555870,0,0,0,1,0
628838887,0,1,0,1,0
628737449,0,1,0,1,0
626290422,0,0,1,0,1
629903433,0,1,0,0,1
622255792,0,0,1,1,1
629243856,1,0,1,1,1
626713757,0,1,0,0,0
627917898,1,1,1,1,0
628109430,0,0,1,1,1
620586271,0,0,0,0,1
627007127,1,0,1,0,0
628783205,1,1,0,1,1
628600907,1,0,0,0,0
624517467,1,1,1,1,1
623398450,1,0,1,1,0
626728603,0,0,1,1,1
621828023,0,0,0,0,1
622330554,0,0,1,0,0
620115563,1,1,1,0,0
620312968,1,1,1,1,0
628508803,1,0,0,0,1
626090672,1,0,0,0,1
627793251,1,1,0,1,1
620932935,1,0,0,0,1
625733931,0,1,0,1,1
626622910,1,0,1,0,0
626214979,1,0,1,0,0
622177859,1,0,1,0,1
622036813,0,1,1,1,1
626095157,0,1,1,0,1
625054780,0,1,0,0,0
622454165,1,0,0,0,1
625133222,0,0,1,0,1
621425812,0,0,0,1,0
623369825,1,0,0,1,1
622080078,0,0,0,1,0
623335735,0,1,1,0,0
627252351,1,0,1,1,1
627217084,1,0,0,0,1
622761595,1,0,1,0,1
628957565,0,0,0,0,0
629563079,0,1,0,0,1
620738898,0,0,0,0,1
628175326,1,1,0,0,1
621364145,0,0,0,0,0
623731626,0,1,0,1,0
626862805,1,0,0,0,1
626742330,1,1,0,1,0
628563867,0,0,1,1,1
622756214,0,0,0,1,1
620913047,0,0,1,0,1
629250979,0,1,1,1,0
622401911,1,0,1,0,0
622106621,1,0,0,0,0
621554555,0,0,1,1,1
622608323,1,1,0,1,1
621764023,0,0,1,1,1
628719901,1,1,1,0,0
625476499,1,0,1,1,0
627135313,1,0,0,1,1
622812118,0,1,0,0,0
625424117,1,1,0,0,0
622156574,1,1,0,0,1
628617482,0,1,1,0,1
629571953,1,0,0,1,0
628226838,1,1,1,1,0
628545782,0,1,1,0,0
629924954,0,1,1,1,1
629835049,0,1,1,1,1
625094767,1,0,0,0,1
620645837,0,1,1,0,1
622967733,1,0,1,0,0
623347353,0,0,0,1,1
624767390,1,0,1,1,0
627981881,0,1,1,1,0
624789070,0,0,1,0,0
628167834,0,1,1,1,0
626064146,1,0,0,0,1
621240573,1,0,1,0,1
620987523,1,1,0,1,1
628088630,0,1,1,0,1
621262205,0,0,0,0,1
621500971,0,0,1,0,0
628077532,1,1,1,1,0
623089919,1,1,0,1,0
623466467,0,0,1,1,0
628634715,0,1,1,1,0
622964532,1,0,1,1,1
627242691,1,1,0,0,1
621634060,1,0,0,0,1
621744098,0,0,1,0,1
626869032,1,0,0,0,0
622134038,0,1,1,0,1
627389768,1,0,0,0,1
623142340,0,0,0,0,0
620892221,1,0,1,0,1
623381402,1,0,1,0,0
629281609,1,1,1,1,0
628489141,1,0,0,1,1
624455076,1,0,0,0,0
628762566,1,1,0,1,1
623636409,0,0,0,0,1
628721994,1,0,1,0,0
627847620,0,1,0,1,1
628234696,0,0,1,1,0
621042995,1,1,1,1,1
620767103,1,0,0,1,0
624529228,0,0,1,1,1
623728234,0,0,1,0,0
628195306,0,1,1,0,0
620806581,0,0,1,0,0
625659315,0,1,1,1,0
623711166,1,1,0,1,1
620352267,1,1,0,1,1
627475298,1,1,1,1,1
629112553,1,1,0,1,1
621351172,0,0,0,1,0
624962198,0,1,0,1,1
623462908,0,1,1,1,0
624622098,0,1,0,0,0
627843051,0,1,0,1,1
621052822,0,1,0,0,0
629538699,0,0,1,0,1
624816024,1,0,1,0,0
620969180,0,0,0,1,1
628886957,1,0,1,0,0
622026785,1,1,0,0,1
624663038,0,0,0,1,1
622615116,0,1,0,0,1
625277695,0,0,1,0,0
625323717,1,0,0,1,0
625751285,1,1,0,0,1
625856998,0,1,0,1,0
620871163,0,0,0,0,1
627435435,0,0,0,1,0
628884542,0,1,0,0,0
625789399,0,0,0,1,0
621254909,1,1,1,0,1
629077430,0,1,0,0,1
629645792,1,1,1,0,1
626108406,1,0,0,1,0
625424696,0,0,0,0,1
625121641,0,0,0,1,1
627359308,1,0,1,1,0
620028802,1,1,1,1,1
624398678,1,0,0,0,0
625733614,1,1,1,0,1
623704018,1,0,1,1,1
629757167,0,1,0,0,0
620720942,1,0,0,1,1
628106161,1,1,0,0,1
629707073,0,1,0,0,1
628645260,0,1,0,0,1
629949565,0,0,0,0,1
629929905,0,0,1,0,0
629385252,0,0,0,0,1
625890025,0,0,1,1,1
623308235,0,0,1,0,1
624558908,0,1,0,0,0
622701288,1,0,0,0,0
628936714,1,0,0,0,1
623747184,1,0,0,1,1
625046525,0,1,1,0,1
623229953,1,1,1,0,1
626555043,0,1,1,1,0
621631509,1,1,0,0,1
622233932,0,0,0,0,1
624408999,1,1,0,1,1
627716099,0,0,0,1,1
624538572,0,1,0,1,1
621709819,1,0,1,0,0
629123630,1,1,1,0,0
623782934,1,1,0,0,0
626988671,0,0,1,0,1
620123968,1,0,1,0,0
626230496,1,1,0,1,0
629571714,0,0,1,1,0
621076796,0,0,1,0,0
628956837,1,0,1,1,0
623704311,1,0,0,1,0
626264123,0,0,0,0,1
